id,company_id,phone_num
e8740359-7f29-431f-a1b8-7bcbd01eed72,d9bbd0b9-37b4-41f8-9cbf-d785501c5257,917-216-3000
31909595-efaf-459f-a7cf-e6c2402df939,9c6bcaf0-f27c-4802-a4ca-2f5b5fe0e569,402-509-5325
0a6e8b22-ae13-40c3-994a-1edb70fa9ba5,841395c6-c584-4cf1-8d21-60114a50dac1,168-849-0129
c95fdb5b-c873-4b16-837e-487107937da9,642c09e2-ed92-4bc4-8d6a-84e38413e408,707-368-1226
9c2a93fb-76b2-4f12-9e4c-93e2d142dc05,df123460-04da-48c2-b4f5-777158c77ff8,585-571-8728
f11118c4-632e-42eb-8db8-2b4fe5d4fbe9,452dfb07-41be-4136-82c3-f440e10d66dc,767-599-1647
02710daa-b282-4dfc-b27d-9e965c80688c,4d56e9d2-7133-47c4-bbaf-34d2a62c80ce,695-585-8734
6d33a71c-2d67-42ea-be06-b91ab4d57f3f,d0db8659-e59c-4cdc-a3ad-27ca7a51a34c,535-829-5072
bbaf3d74-da5c-4d93-88b2-5af516d42791,006adc2c-8b84-4276-a509-fa10fc0747cd,803-966-9742
b2867587-2c6d-489f-a9ad-7593fd5b83ed,022bc94e-6917-43f4-93b0-61961686f0c0,907-793-4632
c3e229a0-b2e8-43cb-ac76-1a0c492a5996,d9bbd0b9-37b4-41f8-9cbf-d785501c5257,197-228-8442
2d198764-542a-4f1f-b5f0-eebd97f8ddec,9c6bcaf0-f27c-4802-a4ca-2f5b5fe0e569,210-154-6816
17d596b3-c853-40f6-9b53-9741cc0d89fe,841395c6-c584-4cf1-8d21-60114a50dac1,253-534-3331
f6c2c239-3a62-44fe-a008-13663fa78cac,642c09e2-ed92-4bc4-8d6a-84e38413e408,457-907-3229
686d2508-eda8-4017-a87c-cfe9d77e543b,df123460-04da-48c2-b4f5-777158c77ff8,422-744-1741
20a55bd0-cabf-4adc-9bde-64229ef57cae,452dfb07-41be-4136-82c3-f440e10d66dc,910-588-6725
af2eec69-2694-4dc5-b732-28dce0e0865f,4d56e9d2-7133-47c4-bbaf-34d2a62c80ce,139-904-6624
d8da86b3-dbf2-448e-ba8e-651aec85a6df,d0db8659-e59c-4cdc-a3ad-27ca7a51a34c,101-722-8501
15edff95-62dd-423f-8551-afce37ce7b66,006adc2c-8b84-4276-a509-fa10fc0747cd,478-528-7337
347d9f38-e4e5-4a72-8f80-5c0523bf1983,022bc94e-6917-43f4-93b0-61961686f0c0,636-794-3123
b452291f-1948-4a2c-82e7-b1138939ebd2,d9bbd0b9-37b4-41f8-9cbf-d785501c5257,333-634-6624
a0bb9b27-9c6d-4f62-9114-25814a73fb46,9c6bcaf0-f27c-4802-a4ca-2f5b5fe0e569,359-421-1126
4f539902-e449-4b63-84f0-10a0944cce15,841395c6-c584-4cf1-8d21-60114a50dac1,805-706-1546
e9fd1ce5-d03d-4afb-a662-e19d9305c162,642c09e2-ed92-4bc4-8d6a-84e38413e408,990-521-6422
27735ffc-20fe-4c67-964a-f02d083f772a,df123460-04da-48c2-b4f5-777158c77ff8,776-869-8549
80916f76-6d42-471d-a082-9a41a2fb9930,452dfb07-41be-4136-82c3-f440e10d66dc,146-248-2552
70840566-9aaa-4787-8487-6151fd739a89,4d56e9d2-7133-47c4-bbaf-34d2a62c80ce,867-837-4571
89cc1a35-904b-487f-b14f-a2b01c892a42,d0db8659-e59c-4cdc-a3ad-27ca7a51a34c,217-192-7339
ed18dbd4-124c-429c-9a03-634686585f97,006adc2c-8b84-4276-a509-fa10fc0747cd,442-357-2979
c0fc23ce-486e-48b1-98fb-f8970951e09c,022bc94e-6917-43f4-93b0-61961686f0c0,250-150-3233
94dc9eb1-b252-4f40-973e-b8b1445de3da,d9bbd0b9-37b4-41f8-9cbf-d785501c5257,500-767-3587
0c87bf0d-d8d0-4786-a99b-ccb7b43c16e0,9c6bcaf0-f27c-4802-a4ca-2f5b5fe0e569,497-889-8664
01cf08fd-e0cd-41a6-a663-a37b93239237,841395c6-c584-4cf1-8d21-60114a50dac1,452-605-4894
c8d528be-b07a-429e-a548-54a9cb5af06b,642c09e2-ed92-4bc4-8d6a-84e38413e408,108-651-1843
86090513-decf-4a93-a045-c2a1391386d5,df123460-04da-48c2-b4f5-777158c77ff8,360-175-0917
15c8d828-4a3b-4c98-b6c2-a8df4ce5facc,452dfb07-41be-4136-82c3-f440e10d66dc,271-310-3864
f0f4889d-36dc-49fd-861b-93b212cc9932,4d56e9d2-7133-47c4-bbaf-34d2a62c80ce,336-301-5899
0f28f848-e934-4924-93f9-21eeba0cffde,d0db8659-e59c-4cdc-a3ad-27ca7a51a34c,406-717-1309
a7a51faa-bc1a-4e9a-8c98-ea4509312429,006adc2c-8b84-4276-a509-fa10fc0747cd,726-643-2783
